ID	Start time	Completion time	Email	Name	Gender	Level/Year	Age	Your cumulative average (GPA)	Before COVID-19: Which of the following digital tools do you usually use?	After COVID-19: Which of the following digital tools do you usually use?	Before COVID-19: How much time do you spend using the digital tools in learning?	After COVID-19: How much time do you spend using the digital tools in learning?	Before COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.	After COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.	Before COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.	After COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.	Before COVID-19: I have fixed hours for bedtime and wake-up. 	After COVID-19: I have fixed hours for bedtime and wake-up. 	Before COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.	After COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.	Before COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting	After COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting	The distance learning system, caused by the COVID-19 epidemic, resulted in social distancing.	Prolonged use of digital tools (mobile, laptop, i-pad) causes students’ isolation 	University learning contributes to strengthening the social personality of students.	Staying home for long periods of time leads to lethargy and laziness.	Prolonged use of e-learning tools often leads to boredom, nervousness, and tension.	The psychological element is a key factor in the success of the educational process.	Some students cannot afford buying all necessary digital tools, which is embarrassing and frustrating.	I don’t recommend continuing with the online learning model because it is socially and psychologically unhealthy.	Measures of lockdown, closures, and quarantine, brought by COVID-19 caused stress, frustration, and depression.	Use of digital learning tools is responsible for my low academic performance.	The volume of assignments via e-learning led to confusion, frustration and poor performance. 	Face-to-face interaction contributes significantly to boosting students’ academic achievement.	Taking quizzes and exams online from home was not comfortable and made me nervous.	Stress
18	6-12-20 19:50:39	6-12-20 19:54:22	anonymous		Female	Third/Junior	18-24	+90 / +3.5	I pad/ Tablet	Laptop	3-6	+12	Uncertain	Strongly Agree	Disagree	Agree	Strongly Agree	Strongly Disagree	Uncertain	Strongly Agree	Disagree	Strongly Agree	"Agree	"	Strongly Agree	"Agree	"	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	1
19	6-12-20 19:51:01	6-12-20 19:55:40	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Laptop	Mobile phone	1-3 	6-9	Strongly Agree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Disagree	1
20	6-12-20 19:55:31	6-12-20 19:58:48	anonymous		Female	Third/Junior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	3-6	6-9	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
21	6-12-20 19:55:06	6-12-20 19:59:16	anonymous		Female	Third/Junior	18-24	80-89 / 3-3.49	Mobile phone	Mobile phone	6-9	1-3 	Strongly Disagree	Agree	Uncertain	Uncertain	Agree	Strongly Disagree	Uncertain	Agree	Strongly Agree	Strongly Agree	"Uncertain	"	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	1
22	6-12-20 19:57:51	6-12-20 20:00:43	anonymous		Female	Second/ Sophomore	25-30	80-89 / 3-3.49	Mobile phone	Mobile phone	3-6	6-9	Uncertain	Agree	Agree	Agree	Agree	Agree	Uncertain	Uncertain	Agree	Strongly Agree	"Agree	"	"Agree	"	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Uncertain	Agree	Strongly Agree	Agree	Agree	Agree	1
23	6-12-20 19:55:52	6-12-20 20:01:51	anonymous		Female	Fourth/Senior	18-24	80-89 / 3-3.49	Other	Laptop	3-6	6-9	Uncertain	Strongly Agree	Agree	Uncertain	Agree	Disagree	Uncertain	Strongly Agree	Agree	Strongly Agree	"Uncertain	"	"Agree	"	"Uncertain	"	"Agree	"	Agree	Agree	Agree	Uncertain	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
24	6-12-20 19:58:29	6-12-20 20:02:33	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Mobile phone	Mobile phone	1-3 	3-6	Uncertain	Agree	Agree	Agree	Uncertain	Uncertain	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree			Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
25	6-12-20 19:59:00	6-12-20 20:03:17	anonymous		Female	Fourth/Senior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	6-9	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	1
26	6-12-20 20:00:25	6-12-20 20:03:45	anonymous		Female	Third/Junior	18-24	70-79 / 2.5-299	Mobile phone	Laptop	3-6	6-9	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Strongly Agree	Uncertain	Disagree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	1
27	6-12-20 20:01:53	6-12-20 20:03:56	anonymous		Female	Second/ Sophomore	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	3-6	Strongly Disagree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
28	6-12-20 20:00:25	6-12-20 20:04:50	anonymous		Male	Second/ Sophomore	18-24	60-69 / 2-2.9	Mobile phone	Mobile phone	1-3 	3-6	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Strongly Agree	"Agree	"	Strongly Agree	"Uncertain	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Disagree	1
29	6-12-20 20:01:39	6-12-20 20:04:55	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Mobile phone	Mobile phone	1-3 	9-12	Disagree	Disagree	Strongly Agree	Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Uncertain	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
30	6-12-20 20:00:15	6-12-20 20:05:10	anonymous		Female	Second/ Sophomore	18-24	+90 / +3.5	Laptop	Mobile phone	1-3 	3-6	Disagree	Agree	Disagree	Disagree	Strongly Disagree	Strongly Disagree	Disagree	Agree	Strongly Agree	Strongly Agree	"Agree	"	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	1
31	6-12-20 20:02:20	6-12-20 20:05:11	anonymous		Female	First/Freshman	18-24	80-89 / 3-3.49	Laptop	Laptop	3-6	6-9	Agree	Strongly Agree	Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	1
32	6-12-20 19:57:33	6-12-20 20:05:16	anonymous		Female	Second/ Sophomore	18-24	70-79 / 2.5-299	Mobile phone	Personal Computer	1-3 	3-6	Agree	Strongly Agree	Uncertain	Agree	Uncertain	Uncertain	Disagree	Agree	Agree	Strongly Agree	"Agree	"	"Agree	"	"Uncertain	"	"Agree	"	Agree	Strongly Agree	Strongly Agree	Uncertain	Uncertain	Agree	Agree	Agree	Uncertain	0
33	6-12-20 20:00:31	6-12-20 20:05:22	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Mobile phone	Personal Computer	6-9	9-12	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree	1
34	6-12-20 20:02:47	6-12-20 20:06:08	anonymous		Female	Second/ Sophomore	18-24	70-79 / 2.5-299	Mobile phone	Laptop	1-3 	6-9	Uncertain	Disagree	Agree	Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
35	6-12-20 20:02:45	6-12-20 20:06:10	anonymous		Female	Second/ Sophomore	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	6-9	Uncertain	Uncertain	Agree	Agree	Disagree	Disagree	Agree	Agree	Agree	Agree	"Agree	"	"Agree	"	"Agree	"	"Agree	"	Agree	Agree	Agree	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
36	6-12-20 20:03:52	6-12-20 20:06:41	anonymous		Female	First/Freshman	18-24	+90 / +3.5	Mobile phone	Laptop	3-6	9-12	Uncertain	Strongly Agree	Agree	Uncertain	Agree	Strongly Disagree	Disagree	Strongly Agree	Uncertain	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Uncertain	1
37	6-12-20 20:04:13	6-12-20 20:07:33	anonymous		Female	Fourth/Senior	18-24	60-69 / 2-2.9	Laptop	Mobile phone	9-12	+12	Disagree	Strongly Agree	Uncertain	Agree	Uncertain	Disagree	Agree	Strongly Agree	Agree	Strongly Agree	Disagree	"Uncertain	"	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Uncertain	Strongly Agree	Agree	Agree	Agree	Uncertain	1
38	6-12-20 20:05:32	6-12-20 20:08:49	anonymous		Female	Fourth/Senior	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	1-3 	Strongly Disagree	Strongly Disagree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	Disagree	"Uncertain	"	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	1
39	6-12-20 20:03:36	6-12-20 20:09:07	anonymous		Female	First/Freshman	18-24	80-89 / 3-3.49	Mobile phone	Mobile phone	1-3 	3-6	Uncertain	Agree	Strongly Agree	Strongly Agree	Agree	Disagree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
40	6-12-20 20:05:31	6-12-20 20:09:17	anonymous		Female	Fourth/Senior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	3-6	Agree	Disagree	Agree	Strongly Agree	Agree	Disagree	Disagree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Agree	1
41	6-12-20 20:07:02	6-12-20 20:11:05	anonymous		Female	Second/ Sophomore	18-24	60-69 / 2-2.9	Mobile phone	Mobile phone	1-3 	3-6	Disagree	Strongly Agree	Uncertain	Strongly Agree	Agree	Disagree	Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
42	6-12-20 20:06:32	6-12-20 20:11:37	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Mobile phone	Laptop	3-6	6-9	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Uncertain	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	1
43	6-12-20 20:07:34	6-12-20 20:12:23	anonymous		Female	First/Freshman	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	1-3 	Uncertain	Uncertain	Agree	Agree	Uncertain	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Uncertain	"	"Agree	"	"Agree	"	"Uncertain	"	Agree	Agree	Strongly Agree	Agree	Uncertain	Agree	Agree	Agree	Agree	0
44	6-12-20 20:06:15	6-12-20 20:12:37	anonymous		Female	Fourth/Senior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	3-6	Agree	Strongly Agree	Uncertain	Strongly Agree	Uncertain	Strongly Disagree	Uncertain	Strongly Agree	Agree	Strongly Agree	Strongly Agree	"Agree	"	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Uncertain	1
45	6-12-20 20:07:35	6-12-20 20:13:56	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	3-6	Uncertain	Uncertain	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	"Agree	"	"Agree	"	"Agree	"	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Strongly Agree	Agree	Strongly Agree	1
46	6-12-20 20:01:52	6-12-20 20:14:14	anonymous		Female	Second/ Sophomore	18-24	70-79 / 2.5-299	Laptop	Mobile phone	1-3 	6-9	Uncertain	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	1
47	6-12-20 20:10:32	6-12-20 20:15:22	anonymous		Male	First/Freshman	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	1-3 	Strongly Disagree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Disagree	Uncertain	Strongly Agree	Agree	Strongly Agree	"Agree	"	"Agree	"	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	1
48	6-12-20 20:12:28	6-12-20 20:15:39	anonymous		Female	Fourth/Senior	18-24	80-89 / 3-3.49	Laptop	Laptop	1-3 	1-3 	Agree	Agree	Disagree	Disagree	Agree	Agree	Disagree	Disagree	Disagree	Agree	"Agree	"	"Agree	"	"Uncertain	"	"Agree	"	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Agree	Agree	Agree	Strongly Agree	1
49	6-12-20 20:13:21	6-12-20 20:17:32	anonymous		Male	Fourth/Senior	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	1-3 	Disagree	Agree	Uncertain	Agree	Agree	Strongly Agree	Uncertain	Strongly Agree	Agree	Strongly Agree	Disagree	"Agree	"	"Agree	"	"Uncertain	"	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Agree	Strongly Agree	Uncertain	1
50	6-12-20 20:14:44	6-12-20 20:17:35	anonymous		Female	First/Freshman	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	3-6	Disagree	Disagree	Strongly Agree	Strongly Agree	Disagree	Disagree	Disagree	Disagree	Disagree	Disagree	Strongly Disagree	"Agree	"	"Agree	"	Strongly Agree	Disagree	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Disagree	0
51	6-12-20 20:15:04	6-12-20 20:17:45	anonymous		Female	First/Freshman	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	1-3 	Uncertain	Uncertain	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Disagree	1
52	6-12-20 20:04:50	6-12-20 20:18:14	anonymous		Female	Third/Junior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	6-9	Agree	Strongly Agree	Uncertain	Uncertain	Agree	Uncertain	Uncertain	Agree	Uncertain	Strongly Agree	"Agree	"	"Agree	"	"Uncertain	"	"Uncertain	"	Agree	Strongly Agree	Agree	Uncertain	Uncertain	Disagree	Disagree	Agree	Strongly Disagree	1
